paragraph_id,sentence_id,sentence_function,depends_on,new_information,evidence_or_definition,problem,revision
E53,s2,对比,s1,另一个比较问缩减表示是否应替换完整表示这需要自己的参数,none,none,none
E53,s3,操作,s2,在相同网格/上限/交叉验证下做自己的 TRAIN 侧选择后 17 维缩减状态处处选出更弱惩罚,M42 与 app:compact-selection,none,none
E53,s4,结果,s3,开发块上 TimesFM 显著变差(MASE 1.0952→1.1182 harmful loss 0.0111→0.0351 干预率 46.7%→81.6%)Bolt 精度不变但 harmful loss 上升 Chronos-2 改善(1.1365→1.1131),app:compact-selection,因果无据/术语(significantly 未给出检验或区间支撑),改为描述性措辞(如明显)或补配对区间
E53,s5,结果,s4,按修订周期的采纳规则(开发误差下降且不升损害且无单骨干回归才采纳)混合证据下保留完整 22 维状态,none,none,none
E53,s6,范围限定,s5,重调缩减状态的 TEST 聚合(1.4280 对 1.4366)仅备案;选择与评估表见附录,app:compact-selection,none,none
E61,s1,衔接,小节主题:缺失与回放支撑敏感性,主比较只覆盖一个主严重度→评估扩展到其他注册水平与模式,none,none,none
E61,s2,操作,s1,图比较三个注册严重度下的相同配置,fig:robust,none,none
E61,s3,结果,s2,IntroAct-TS 在每个水平的 MASE 都低于 Keep,fig:robust,none,none
E61,s4,证据,s3,其值为 1.437/1.698/1.735 对不变输入的 1.576/1.794/1.875,fig:robust,none,none
E61,s5,结果,s4,R2-CART 在两个更高严重度达 1.678 与 1.721→默认方法不在整个扫描中保持最低聚合误差,fig:robust,none,none
E61,s6,范围限定,s2,三个严重度都在回放构建中出现→扫描度量采样缺失网格内的性能;每骨干用自有预测构建的库,M23,none,none
E61,s7,衔接,s1-s6,附录报告完整分解,app:severity-full 与 app:pattern,none,none
E62,s1,衔接,M22 的回放库依赖,方法也依赖回放库作为历史支撑;三个记录的检查以不同方式改变该支撑,none,none,none
E62,s2,操作,s1,子采样库问选择需要多少历史,app:replaysize,none,none
E62,s3,操作,s1,"在库子样本下重复 TRAIN 侧选择问所选 (k,β) 的稳定性",app:selstability,none,none
E62,s4,操作,s1,重新生成同一批 parent 的缺失掩码问结果对具体掩码实现的依赖,app:seeds,指代不明(parent 未定义),同 M42 s1
E62,s5,范围限定,s2-s4,这些检查分别改变历史支撑/所选配置/同一批 parent 的掩码实现;没有一个是独立泛化测试,none,none,none
E71,s1,衔接,小节主题:部署成本,服务遵循 §3.5 的两阶段顺序;记录的成本按组件保留,M51,none,none
E71,s2,结果,s1,完整方法平均每请求 1.65 次骨干调用:参考 1 次加干预执行时再 1 次,M52 与 tab:ablation,none,none
E71,s3,操作,s2,候选构建在选择前支付;5 个修复中 3 个用自有模型构建候选,M52,none,none
E71,s4,结果,s2,检索与打分增加与骨干调用分开度量的开销;一次性建库是冷启动成本,app:calls,none,none
E71,s5,范围限定,s1-s4,附录报告实测调用数/失败审计/合成延迟核算;本配置下未测端到端请求延迟故不声称延迟分位数,app:calls,none,none
E71,s6,衔接,s1-s5,这些数字回答一个问题:逐请求选择在参考预测之外增加了哪些计算,none,none,none
C1,s1,衔接,全文研究问题(I1 s4),本文研究了冻结模型预测前是否及如何修复不完整上下文并把不变输入作为显式选项,none,none,none
C1,s2,解释,s1,IntroAct-TS 把历史动作结果变成预测效用监督并结合动作条件局部估计与离散惩罚决定是否干预,I4 与 M32/M41,none,none
C1,s3,结果,§4 的结果汇总,记录的评估显示对不变输入的 broad-based 改进;对更强简单策略的优势集中于一个来源;来源级固定选择在 2/3 骨干至少同等准确;更低误差与高于随机门控的 harmful loss 并存=accuracy-harm 权衡而非全赢,E34/E35/E44,none,none
C1,s4,范围限定,s3,因早期测试观察影响了设计独立评估仍然必要;并需自然缺失数据与回放网格外请求的测试,E14,none,none
